"Year","ICMLocation","MedalistEntity","Medalist","AffiliationWhenAwarded","AffiliationWhenAwardedCountry","AffiliationCurrent","AffiliationCurrentCountry","Citation"
"DateObject[{1936}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Oslo"", ""Oslo"", ""Norway""}]","Missing[""NotAvailable""]","Lars Ahlfors","University of Helsinki, Finland","Entity[""Country"", ""Finland""]","Harvard University, US","Entity[""Country"", ""UnitedStates""]","Awarded medal for research on covering surfaces related to Riemann surfaces of inverse functions of entire and meromorphic functions. Opened up new fields of analysis."
"DateObject[{1936}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Oslo"", ""Oslo"", ""Norway""}]","Entity[""Person"", ""JesseDouglas::qzz3b""]","Jesse Douglas","Massachusetts Institute of Technology, US","Entity[""Country"", ""UnitedStates""]","City College of New York, US","Entity[""Country"", ""UnitedStates""]","Did important work of the Plateau problem which is concerned with finding minimal surfaces connecting and determined by some fixed boundary."
"DateObject[{1950}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Cambridge"", ""Massachusetts"", ""UnitedStates""}]","Entity[""Person"", ""LaurentSchwartz::4ng67""]","Laurent Schwartz","University of Nancy, France","Entity[""Country"", ""France""]","University of Paris VII, France","Entity[""Country"", ""France""]","Developed the theory of distributions, a new notion of generalized function motivated by the Dirac delta-function of theoretical physics."
"DateObject[{1950}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Cambridge"", ""Massachusetts"", ""UnitedStates""}]","Entity[""Person"", ""AtleSelberg::q87d5""]","Atle Selberg","Institute for Advanced Study, US","Entity[""Country"", ""UnitedStates""]","Institute for Advanced Study, US","Entity[""Country"", ""UnitedStates""]","Developed generalizations of the sieve methods of Viggo Brun; achieved major results on zeros of the Riemann zeta function; gave an elementary proof of the prime number theorem (with P. Erdős), with a generalization to prime numbers in an arbitrary arithmetic progression."
"DateObject[{1954}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Amsterdam"", ""NoordHolland"", ""Netherlands""}]","Entity[""Person"", ""KunihikoKodaira::c24q9""]","Kunihiko Kodaira","University of Tokyo, Japan and Institute for Advanced Study, US","Entity[""Country"", ""UnitedStates""]","University of Tokyo, Japan","Entity[""Country"", ""Japan""]","Achieved major results in the theory of harmonic integrals and numerous applications to Kählerian and more specifically to algebraic varieties. He demonstrated, by sheaf cohomology, that such varieties are Hodge manifolds."
"DateObject[{1954}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Amsterdam"", ""NoordHolland"", ""Netherlands""}]","Entity[""Person"", ""Jean-PierreSerre::pmg5z""]","Jean-Pierre Serre","University of Nancy, France","Entity[""Country"", ""France""]","Collège de France, France","Entity[""Country"", ""France""]","Achieved major results on the homotopy groups of spheres, especially in his use of the method of spectral sequences. Reformulated and extended some of the main results of complex variable theory in terms of sheaves."
"DateObject[{1958}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Edinburgh"", ""Edinburgh"", ""UnitedKingdom""}]","Entity[""Person"", ""KlausFriedrichRoth::82v7b""]","Klaus Roth","University College London, UK","Entity[""Country"", ""UnitedKingdom""]","Imperial College London, UK","Entity[""Country"", ""UnitedKingdom""]","Solved in 1955 the famous Thue-Siegel problem concerning the approximation to algebraic numbers by rational numbers and proved in 1952 that a sequence with no three numbers in arithmetic progression has zero density (a conjecture of Erdös and Turán of 1935)."
"DateObject[{1958}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Edinburgh"", ""Edinburgh"", ""UnitedKingdom""}]","Entity[""Person"", ""ReneFrericThom::9j869""]","René Thom","University of Strasbourg, France","Entity[""Country"", ""France""]","Institut des Hautes Études Scientifiques, France","Entity[""Country"", ""France""]","In 1954 invented and developed the theory of cobordism in algebraic topology. This classification of manifolds used homotopy theory in a fundamental way and became a prime example of a general cohomology theory."
"DateObject[{1962}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Stockholm"", ""Stockholm"", ""Sweden""}]","Entity[""Person"", ""LarsHormander::4853f""]","Lars Hörmander","University of Stockholm, Sweden","Entity[""Country"", ""Sweden""]","Lund University, Sweden","Entity[""Country"", ""Sweden""]","Worked in partial differential equations. Specifically, contributed to the general theory of linear differential operators. The questions go back to one of Hilbert's problems at the 1900 congress."
"DateObject[{1962}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Stockholm"", ""Stockholm"", ""Sweden""}]","Entity[""Person"", ""JohnWillardMilnor::j547m""]","John Milnor","Princeton University, US","Entity[""Country"", ""UnitedStates""]","Stony Brook University, US","Entity[""Country"", ""UnitedStates""]","Proved that a 7-dimensional sphere can have several differential structures; this led to the creation of the field of differential topology."
