University,Winners
Institute for Advanced Study,9
Princeton University,9
Institut des Hautes Études Scientifiques,7
University of Cambridge,5
"University of California, Berkeley",4
Massachusetts Institute of Technology,3
University of Oxford,3
Courant Institute,3
Harvard University,3
Paris-Sud 11 University,3
Moscow State University,2
"University of California, San Diego",2
Stanford University,2
Rutgers University,2
University of Nancy,2
University of Texas at Austin,2
Hebrew University of Jerusalem,2
Collège de France,2
University of Helsinki,1
University of Strasbourg,1
University of Stockholm,1
University of Tokyo,1
University of Warwick,1
University of Pisa,1
University of Paris VII,1
University of Paris 9,1
Yale University,1
École Normale Supérieure de Lyon,1
Alfréd Rényi Institute,1
University College London,1
University of Geneva,1
University of Florida,1
University of Edinburgh,1
"University of California, Los Angeles",1
B Verkin Institute for Low Temperature Physics and Engineering,1
Stony Brook University,1
Royal Institute of Technology,1
Landau Institute for Theoretical Physics,1
Kyoto University,1
Instituto Nacional de Matemática Pura e Aplicada,1
Institut Henri Poincaré,1
Eötvös Loránd University,1
CNRS,1
École normale supérieure Paris-Saclay,1
