Year,Brazil,Finland,France,Hungary,Israel,Italy,Japan,Russia,Sweden,Switzerland,Ukraine,United Kingdom,United States
1936,0.0,2.7685492801771874e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.841845656793783e-09
1950,0.0,2.4950099800399204e-07,2.3904001529856097e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2594141205511196e-08
1954,0.0,2.3854961832061067e-07,4.6484601975595586e-08,0.0,0.0,0.0,1.1366090405883089e-08,0.0,0.0,0.0,0.0,0.0,1.7779252797269107e-08
1958,0.0,2.2920009168003667e-07,6.71757092635303e-08,0.0,0.0,0.0,1.0883998345632252e-08,0.0,0.0,0.0,0.0,1.932180465655492e-08,1.659402172710578e-08
1962,0.0,2.222716159146477e-07,6.395633913914768e-08,0.0,0.0,0.0,1.0475701610115337e-08,0.0,1.3192612137203167e-07,0.0,0.0,1.8829200323862247e-08,2.0799317782376737e-08
1966,0.0,2.1829294913774284e-07,8.124631852619178e-08,0.0,0.0,0.0,1.0040563878067392e-08,0.0,1.2805736970162633e-07,0.0,0.0,3.665084571826495e-08,2.9718270792883466e-08
1970,0.0,2.168256721595837e-07,7.87959971633441e-08,0.0,0.0,0.0,9.530253790658446e-09,7.683501217834943e-09,1.2414649286157665e-07,0.0,0.0,7.197739909668364e-08,3.3410814603389764e-08
1974,0.0,2.1281123643328368e-07,7.639857134671581e-08,0.0,0.0,1.8195713089995997e-08,9.007142664132658e-09,7.51698839376992e-09,1.223391240518718e-07,0.0,0.0,7.131141695785495e-08,3.684683232388366e-08
1978,0.0,2.1017234131988231e-07,9.359264736162327e-08,0.0,0.0,1.7860651199342727e-08,8.62969131594163e-09,1.4677821811243211e-08,1.2081672103419113e-07,0.0,0.0,7.116677934740063e-08,4.4400438676334124e-08
1982,0.0,2.0682523267838675e-07,1.1031236785497601e-07,0.0,0.0,1.7653808809250595e-08,8.360854479327787e-09,1.4290307598871065e-08,1.2006243246488174e-07,0.0,0.0,7.112249070962465e-08,5.1321090402100743e-08
1986,0.0,2.028397565922921e-07,1.0802052389954092e-07,0.0,0.0,1.7548785624034816e-08,8.162665600078361e-09,1.388937115872079e-08,1.1926058437686346e-07,0.0,0.0,8.845956513277781e-08,5.766941420232902e-08
1990,0.0,2.00160128102482e-07,1.0588173010746996e-07,0.0,0.0,1.7529098303183283e-08,1.6063611903136422e-08,1.3556380988531301e-08,1.167269756040621e-07,0.0,1.9431436177447874e-08,8.751356460251339e-08,6.34618435665556e-08
